Category,WebsiteName,WebsiteURL,WebpageTitle
DMOZ - Health: Animal: Drugs and Medications,American Veterinary Identification Devices ,http://www.avidid.com/,The Microchip Company - Avid Identification Systems Inc.
DMOZ - Health: Animal: Drugs and Medications,CIDR Intravaginal Inserts ,http://www.cidranimalhealth.com/,"Zoetis, the largest global animal health company | Zoetis"
DMOZ - Health: Animal: Drugs and Medications,Lincomix Antibiotic Products ,http://www.lincomix.com/,Zoetis Global Poultry - Conquering Coccidiosis | Zoetis US
DMOZ - Health: Animal: Drugs and Medications,Lincospectin Sterile Solution ,http://www.lincospectin.com/,Zoetis | zoetisUS.com | Zoetis US
DMOZ - Health: Animal: Drugs and Medications,Lutalyse Sterile Solution ,http://www.lutalyse.com/,LUTALYSE® Injection (dinoprost injection) | Zoetis US
DMOZ - Health: Animal: Drugs and Medications,Naxcel Sterile Powder ,http://www.naxcel.com/,NAXCEL® (CEFTIOFUR SODIUM) STERILE POWDER | Zoetis US
DMOZ - Health: Animal: Drugs and Medications,Nuflor ,http://www.nuflor.com/,Merck Animal Health USA
DMOZ - Health: Animal: Drugs and Medications,Pet Health Products ,http://www.pethealthproducts.com.au/,Admin Area
DMOZ - Health: Animal: Drugs and Medications,Rimadyl (Carprofen) ,http://www.rimadyl.com/,RIMADYL | Zoetis Petcare
DMOZ - Health: Animal: Drugs and Medications,Uniferon 200 ,http://www.uniferon.com/,Uniferon - Quality iron for your piglets
DMOZ - Health: Medicine: Evidence Based Medicine,Cochrane Collaboration ,http://www.cochrane.org/,Cochrane | Trusted evidence. Informed decisions. Better health.
DMOZ - Health: Medicine: Evidence Based Medicine,AHRQ: EPC Evidence-based Reports ,http://www.ahrq.gov/research/findings/evidence-based-reports/,EPC Evidence-Based Reports | Agency for Health Research and Quality
DMOZ - Health: Medicine: Evidence Based Medicine,Archibald Cochrane (1909–1988): the father of evidence-based medicine ,http://icvts.oxfordjournals.org/content/18/1/121.full,Archibald Cochrane (1909–1988): the father of evidence-based medicine | Interactive CardioVascular and Thoracic Surgery | Oxford Academic
DMOZ - Health: Medicine: Evidence Based Medicine,Archie Cochrane and his vision for evidence-based medicine ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC2746659/,Archie Cochrane and his vision for evidence-based medicine
DMOZ - Health: Medicine: Evidence Based Medicine,BestBETs ,http://www.bestbets.org/,Welcome to BestBETs
DMOZ - Health: Medicine: Evidence Based Medicine,California Technology Assessment Forum (CTAF) ,https://icer-review.org/programs/ctaf/,CTAF - ICER
DMOZ - Health: Medicine: Evidence Based Medicine,CASP International Network ,http://www.casp-uk.net/#!casp-international/c1zsi,Home - CASP - Critical Appraisal Skills Programme
DMOZ - Health: Medicine: Evidence Based Medicine,Centre for Evidence-based Health Care (CEBHC) ,http://www.cebhc.co.za/,
DMOZ - Health: Medicine: Evidence Based Medicine,Clinical Evidence ,http://www.clinicalevidence.com/,Interested in the latest evidence based information? | BMJ Best Practice
DMOZ - Health: Medicine: Evidence Based Medicine,Cochrane Handbook for Systematic Reviews of Interventions ,http://handbook.cochrane.org/,Cochrane Handbook for Systematic Reviews of Interventions | Cochrane Training
DMOZ - Health: Medicine: Evidence Based Medicine,CONSORT: Consolidated Standards of Reporting Trials ,http://www.consort-statement.org/,Consort - Welcome to the CONSORT Website
DMOZ - Health: Medicine: Evidence Based Medicine,David L Sackett: Interview in 2014 and 2015 ,http://fhs.mcmaster.ca/ceb/docs/David_L_Sackett_Interview_in_2014_2015.pdf,HEI
DMOZ - Health: Medicine: Evidence Based Medicine,DynaMed ,http://www.dynamed.com/,DynaMed
DMOZ - Health: Medicine: Evidence Based Medicine,Essential Evidence Plus ,http://www.essentialevidenceplus.com/,Welcome to Essential Evidence Plus
DMOZ - Health: Medicine: Evidence Based Medicine,Evicom Limited ,http://www.evicom.co.uk/,"Evicom - Evidence Generation, Evaluation & Communication"
DMOZ - Health: Medicine: Evidence Based Medicine,Evidence-Based Medicine: A Short History of a Modern Medical Movement ,http://virtualmentor.ama-assn.org/2013/01/mhst1-1301.html,
DMOZ - Health: Medicine: Evidence Based Medicine,Evidence-Based Medicine: An Oral History ,http://ebm.jamanetwork.com/,Evidence-Based Medicine: An Oral History
DMOZ - Health: Medicine: Evidence Based Medicine,Evidence-based medicine: What has happened in the past 50 years? ,http://onlinelibrary.wiley.com/doi/10.1111/jpc.12800/full,Evidence‐based medicine: What has happened in the past 50 years? - Mellis - 2015 - Journal of Paediatrics and Child Health - Wiley Online Library
DMOZ - Health: Medicine: Evidence Based Medicine,EvidenceUpdates ,http://plus.mcmaster.ca/evidenceUpdates/,"EvidenceAlerts
            | Home"
DMOZ - Health: Medicine: Evidence Based Medicine,FirstCONSULT ,https://www.clinicalkey.com/#!/,ClinicalKey
DMOZ - Health: Medicine: Evidence Based Medicine,General Practice Notebook: Evidence-Based Medicine ,http://www.gpnotebook.co.uk/simplepage.cfm?ID=-1596981199,evidence-based medicine - General Practice Notebook
DMOZ - Health: Medicine: Evidence Based Medicine,GRADE Working Group ,http://www.gradeworkinggroup.org/,GRADE home
DMOZ - Health: Medicine: Evidence Based Medicine,Hayes Health Technology Assessment ,http://www.hayesinc.com/,"Hayes, Inc."
DMOZ - Health: Medicine: Evidence Based Medicine,History of evidence-based medicine ,http://www.indianjurol.com/article.asp?issn=0970-1591;year=2011;volume=27;issue=4;spage=487;epage=489;aulast=Sur,"History of evidence-based medicine Sur RL, Dahm P - Indian J Urol"
DMOZ - Health: Medicine: Evidence Based Medicine,The influential and inspirational Gianni Bonadonna's life commitment to evidence-based cancer medicine ,http://annonc.oxfordjournals.org/content/27/1/6.full,Annals of Oncology - Journal - Elsevier
DMOZ - Health: Medicine: Evidence Based Medicine,James Lind Alliance ,http://www.jla.nihr.ac.uk/,The James Lind Alliance | James Lind Alliance
DMOZ - Health: Medicine: Evidence Based Medicine,Joanna Briggs Institute (JBI) ,http://joannabriggs.org/,- Home | Joanna Briggs Institute
DMOZ - Health: Medicine: Evidence Based Medicine,Kleijnen Systematic Reviews Ltd ,http://www.systematic-reviews.com/,Kleijnen Systematic Reviews Ltd is an independent research company that produces and disseminates systematic reviews and health technology assessments of research evidence in health care - Home
DMOZ - Health: Animal: Alternative Medicine,Alternative Pet Health ,http://www.alternativepethealth.com/,"AlternativePetHealth.com - natural healing for the animals you      love...and want to take very good care of"
DMOZ - Health: Animal: Alternative Medicine,"Animal, the Wellness Magazine ",http://animalwellnessmagazine.com/,Animal Wellness Magazine | The Best Magazine for Dog and Cat Health
DMOZ - Health: Medicine: Evidence Based Medicine,KT Clearinghouse: Center for Evidence-Based Medicine ,http://ktclearinghouse.ca/cebm/,KT Clearinghouse
DMOZ - Health: Medicine: Evidence Based Medicine,Making Evidence-Based Medicine Doable in Everyday Practice - Family Practice Management ,http://www.aafp.org/fpm/2004/0200/p51.html,Making Evidence-Based Medicine Doable in Everyday Practice -- FPM
DMOZ - Health: Medicine: Evidence Based Medicine,The need for evidence-based medicine ,http://www.ncbi.nlm.nih.gov/pmc/articles/PMC1295384/pdf/jrsocmed00064-0020.pdf,
DMOZ - Health: Medicine: Evidence Based Medicine,New Zealand Guidelines Group (NZGG) ,http://www.health.govt.nz/about-ministry/ministry-health-websites/new-zealand-guidelines-group?fuseaction=fuseaction_17,New Zealand Guidelines Group | Ministry of Health NZ
DMOZ - Health: Medicine: Evidence Based Medicine,NHMRC Clinical Practice Guidelines ,http://www.health.gov.au/internet/main/publishing.nsf/Content/health-publicat.htm,Department of Health | Publications
DMOZ - Health: Medicine: Evidence Based Medicine,NHS Evidence Search ,http://www.evidence.nhs.uk/,Evidence search | NICE
DMOZ - Health: Medicine: Evidence Based Medicine,Outcomes & Evidence Based Medicine ,http://guides.lib.unc.edu/c.php?g=8472&p=43571,Resources - EBP Education Center of Excellence - LibGuides at University of North Carolina at Chapel Hill
DMOZ - Health: Medicine: Evidence Based Medicine,Practical Evidence-Based Internet Resources ,http://www.aafp.org/fpm/2003/0700/p49.html,Practical Evidence-Based Internet Resources -- FPM
DMOZ - Health: Medicine: Evidence Based Medicine,RECIST: No Longer the Sharpest Tool in the Oncology Clinical Trials Toolbox—Point ,http://cancerres.aacrjournals.org/content/72/20/5145.full,RECIST: No Longer the Sharpest Tool in the Oncology Clinical Trials Toolbox—Point | Cancer Research
DMOZ - Health: Medicine: Evidence Based Medicine,RevMan | Review Manager For Cochrane Reviews. ,http://community.cochrane.org/tools/review-production-tools/revman-5,RevMan | Cochrane Training
DMOZ - Health: Animal: Alternative Medicine,Complementary and Alternative Veterinary   Medicine ,http://www.workingdogs.com/mikajlo.htm,
DMOZ - Health: Animal: Alternative Medicine,Complementary Veteranarian Medicine Group ,http://www.complementaryvetmedicine.co.za/,Complementary Veterinary Medicine Group
DMOZ - Health: Animal: Alternative Medicine,Connections Reiki: Animal Healing and Wellness ,http://www.connectionsreiki.com/,"Connections Reiki ~ Animal Healing & Wellness: Reiki for Pets and their People. Specializing in Animal Reiki, Intuitive Communication, Flower Essences, Crystal Healing, and Other Natural & Holistic Techniques for Pets, Pet Reiki, Reiki for Pets, Reiki for Animals, Reiki Connection"
DMOZ - Health: Animal: Alternative Medicine,EthnoVetWeb ,http://www.ethnovetweb.com/,
DMOZ - Health: Animal: Alternative Medicine,Gold Bead Implantation in Small Animals ,http://lochvale.freeservers.com/Durkes.html,Gold Bead Implantation
DMOZ - Health: Animal: Alternative Medicine,Hirudolab: International Medicinal Leech Center ,http://www.hirudolab.com/,
DMOZ - Health: Animal: Alternative Medicine,Holistic Pet ,http://www.holisticpetinfo.com/,Holistic Pet Info  - Vitamins & Natural Remedies for Dogs and Cats
DMOZ - Health: Animal: Alternative Medicine,Institute of Complementary Animal Therapies ,http://www.theicat.co.uk/,ICAT - The Institute for Complementary Animal Therapies
DMOZ - Health: Animal: Alternative Medicine,International College of Equine and Canine Therapies ,http://horse-acupuncture.com/,Horse Acupuncture Courses and Equine Acupressure Trainings
DMOZ - Health: Animal: Alternative Medicine,Natural Animal Health ,http://www.natural-animal-health.co.uk/,"Natural Animal Health: Complementary Therapies for pets - horses, dogs and other animals"
DMOZ - Arts: Animation: Anime: Titles: 3: 3×3 Eyes,Community Anime Reviews: 3x3 Eyes ,http://anime.mikomi.org/series/8.html,anime.mikomi.org - 3x3 Eyes
DMOZ - Arts: Animation: Anime: Titles: 3: 3×3 Eyes,Sazan Eyes Ring of the Third Eye ,http://otakuworld.com/rings/sazan.html,Sazan Eyes Ring of the Third Eye
DMOZ - Health: Medicine: Evidence Based Medicine,The Role of the U.S. Food and Drug Administration Review Process: Clinical Trial Endpoints in Oncology ,http://theoncologist.alphamedpress.org/content/15/suppl_1/13.long,
DMOZ - Health: Medicine: Evidence Based Medicine,Sicily statement on classification and development of evidence-based practice learning assessment tools ,http://www.biomedcentral.com/1472-6920/11/78,Sicily statement on classification and development of evidence-based practice learning assessment tools | BMC Medical Education | Full Text
DMOZ - Health: Medicine: Evidence Based Medicine,Sicily statement on evidence-based practice ,http://www.biomedcentral.com/1472-6920/5/1,Sicily statement on evidence-based practice | BMC Medical Education | Full Text
DMOZ - Health: Medicine: Evidence Based Medicine,SRDR - Systematic Review Data Repository ,http://srdr.ahrq.gov/,SRDR - Systematic Review Data Repository | Home
DMOZ - Health: Medicine: Evidence Based Medicine,Students 4 Best Evidence ,http://www.students4bestevidence.net/,Students 4 Best EvidenceHome - Students 4 Best Evidence
DMOZ - Health: Medicine: Evidence Based Medicine,SUMSearch ,http://sumsearch.org/,
DMOZ - Health: Medicine: Evidence Based Medicine,TheMedCircle ,http://themedcircle.com/,Optimize your health and nutrition in a SMART way- The Med Circle
DMOZ - Health: Medicine: Evidence Based Medicine,Trip Database ,http://www.tripdatabase.com/,Trip Medical Database
DMOZ - Health: Medicine: Evidence Based Medicine,Washington University Emergency Medicine Journal Club Podcast ,http://emjclub.com/,The EMJClub Podcast
DMOZ - Health: Medicine: Evidence Based Medicine,Why RECIST Works and Why It Should Stay—Counterpoint ,http://cancerres.aacrjournals.org/content/72/20/5151.full,Why RECIST Works and Why It Should Stay—Counterpoint | Cancer Research
DMOZ - Health: Medicine: Evidence Based Medicine,Zynx Health ,http://www.zynxhealth.com/,Zynx Health | Clinical Decision Support Solutions for Healthcare
DMOZ - Health: Animal: Veterinary Medicine,About Veterinary Medicine ,http://z.about.com/6/g/vetmedicine/b/rss2.xml,
DMOZ - Health: Animal: Veterinary Medicine,Animal Science ,http://www.cabi.org/animalscience/,Animal Science Database
DMOZ - Health: Animal: Veterinary Medicine,Antimicrobial Resistance Learning Site for Veterinary Students ,http://amrls.cvm.msu.edu/,Welcome — Antimicrobial Resistance Learning Site For Veterinary Students
DMOZ - Health: Animal: Veterinary Medicine,Case Studies in Small Animal Cardiovascular Medicine ,http://www.vetmed.ucdavis.edu/vmth/small_animal/cardio_kittleson/cases/,Case Studies In Small Animal Cardiovascular Medicine
DMOZ - Health: Animal: Veterinary Medicine,Center for Animal Health and Productivity ,http://cahpwww.vet.upenn.edu/,CAHP Software Information
DMOZ - Health: Animal: Veterinary Medicine,Center for Veterinary Medicine ,http://www.fda.gov/AnimalVeterinary/default.htm,Animal & Veterinary | FDA
DMOZ - Health: Animal: Veterinary Medicine,Consultant ,http://www.vet.cornell.edu/consultant/consult.asp,
DMOZ - Health: Animal: Veterinary Medicine,FARAD - Food Animal Residue Avoidance Databank ,http://www.farad.org/,Home | FARAD
DMOZ - Health: Animal: Veterinary Medicine,How to Get into Veterinary School ,http://vetschoolinfo.blogspot.com/,How to Get into Veterinary School
DMOZ - Health: Animal: Veterinary Medicine,IDEXX VetConnect ,https://app.vetconnect.com/,IDEXX VetConnect PLUS
DMOZ - Health: Animal: Veterinary Medicine,InView Veterinary Imaging ,http://inviewvet.com/,InView Veterinary Imaging
DMOZ - Health: Animal: Alternative Medicine,Natural Pet Care ,http://www.naturaleyecare.com/pets/,Natural Pet Health | Dog & Cat Vision & Health
DMOZ - Health: Animal: Alternative Medicine,Natural Rearing of Dogs and Cats ,http://www.naturalrearing.com/,
DMOZ - Health: Animal: Alternative Medicine,Out of the Earth ,http://www.outoftheearth.com/,Crystal Massage and Meditation For People And Pets | Out of the Earth
DMOZ - Health: Animal: Alternative Medicine,Pet Sage ,http://www.petsage.com/,PetSage - Home | Holistic Pet Supplies | Pet Food | Cat Food | Dog Food | Pet Health | Natural Pet Care
DMOZ - Health: Animal: Alternative Medicine,Reiki Me Well ,http://reikimewell.synthasite.com/,REIKI ME WELL
DMOZ - Health: Animal: Alternative Medicine,Taranet Alternative Animal Therapies ,http://www.taranet.co.uk/,Complementary Therapies for Animals
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,"Inmon Associates, Inc. ",http://www.inmoncif.com/,inmoncif.com – Tangkasnet | Bola Tangkas Terbaik
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,Kimball Group ,http://www.kimballgroup.com/,Kimball Group | Dimensional Data Warehousing Experts
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,"Abintel, LLC ",http://www.abintel.com/,Abintel - Business Analytics Consulting
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,Access International Group ,http://www.accessig.com/,AccessIG
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,Aexis ,http://www.aexis.com/,Home | Aexis Belgium & The Netherlands | Delivering business solutions
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,Altis Consulting Pty Ltd ,http://www.altis.com.au/,Altis Consulting - Data & Analytics Services & More
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,"Athena IT Solutions, Inc. ",http://www.athena-solutions.com/,Athena IT Solutions Business Intelligence Consulting | Boston | MA
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,"Axis Group, LLC ",http://www.axisgroup.com/,Axis Group - Leaders in Optimizing Business Through Data
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,Barquin International ,http://www.barquin.com/,
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,"Caserta Concepts, LLC ",http://www.casertaconcepts.com/,Data Analytics Consulting - Modern Data Architecture - Caserta
DMOZ - Computers: Software: Databases: Data Warehousing: Consultants,"Center of Financial Technologies, Inc. ",http://www.centerft.com/,"CenterFT: Custom Software Development Company, Outsourcing Software Development, Custom Programming Services"
DMOZ - Health: Animal: Veterinary Medicine,Lighthouse Radiology ,http://lighthouserads.com/,"Lighthouse Radiology, Veterinary Teleradiology service"
DMOZ - Health: Animal: Veterinary Medicine,Martindale's Health Science Guide: Veterinary Center ,http://www.martindalecenter.com/Vet.html,Martindale's Veterinary Center
DMOZ - Health: Animal: Veterinary Medicine,The Merck Veterinary Manual ,http://www.merckvetmanual.com/,Merck Veterinary Manual
DMOZ - Health: Animal: Veterinary Medicine,Museum of Veterinary Medicine ,http://muvetmed.agr.iwate-u.ac.jp/index-en.html,Museum of Veterinary Medicine  Iwate Univ. Home Page
